Ticker,Acurácia Dir %,Acertos,Erros,Dias Teste,Dias Treino,Classe,Coef. MIDAS,Retorno 1 Ano %,Sharpe Ratio,R$10k → Hoje,Lucro/Perda R$,Rentabilidade %,Recomendação,potencial_2026,retorno_proj_%,pct_dias_alta_%,preco_atual,preco_proj_dez26
PINE4.SA,49.8,124,125,249,798,🔴 Fraco,94.2,207.69,2.918,30769.06,20769.06,207.69,🌟 FORTE COMPRA,14.9,-94.62,0.0,15.45,0.8315
CSMG3.SA,43.37,108,141,249,798,🔴 Fraco,79.4,135.09,3.192,23509.39,13509.39,135.09,🌟 FORTE COMPRA,13.0,-82.36,0.0,52.94,9.338
CBAV3.SA,45.78,114,135,249,766,🔴 Fraco,77.4,129.25,2.03,22925.46,12925.46,129.25,🌟 FORTE COMPRA,14.9,-79.04,8.1,10.73,2.2489
USIM5.SA,47.79,119,130,249,798,🔴 Fraco,74.6,104.81,1.891,20480.77,10480.77,104.81,🌟 FORTE COMPRA,84.3,135975.08,100.0,10.65,14491.9964
JHSF3.SA,43.37,108,141,249,798,🔴 Fraco,73.1,119.09,2.361,21909.3,11909.3,119.09,🌟 FORTE COMPRA,83.0,1029.55,100.0,10.9008,123.1307
USIM3.SA,48.19,120,129,249,798,🔴 Fraco,72.1,92.16,1.679,19215.69,9215.69,92.16,🌟 FORTE COMPRA,84.5,42561.51,100.0,9.8,4180.8283
DASA3.SA,55.82,139,110,249,798,🟡 Bom,71.7,106.92,1.304,20691.82,10691.82,106.92,✅ COMPRA,16.7,-99.99,0.0,3.29,0.0002
GOAU4.SA,49.4,123,126,249,798,🔴 Fraco,71.7,69.6,2.131,16959.94,6959.94,69.6,✅ COMPRA,14.8,-99.31,0.0,10.22,0.0707
VALE3.SA,48.19,120,129,249,798,🔴 Fraco,71.6,75.54,2.449,17553.9,7553.9,75.54,✅ COMPRA,28.2,-21.58,25.0,83.96,65.843
MILS3.SA,51.41,128,121,249,798,🔴 Fraco,70.7,63.19,1.861,16318.54,6318.54,63.19,✅ COMPRA,82.8,52.38,82.3,15.21,23.1765
VBBR3.SA,55.02,137,112,249,798,🟡 Bom,70.7,71.04,2.1,17104.3,7104.3,71.04,✅ COMPRA,16.5,-97.0,0.0,30.91,0.9281
BRAP4.SA,49.4,123,126,249,798,🔴 Fraco,70.3,68.28,2.369,16828.43,6828.43,68.28,✅ COMPRA,31.1,-15.49,27.7,23.35,19.7326
UGPA3.SA,51.41,128,121,249,798,🔴 Fraco,68.7,76.08,2.015,17607.63,7607.63,76.08,✅ COMPRA,15.4,-98.92,0.0,26.91,0.2904
GGBR4.SA,50.2,125,124,249,798,🔴 Fraco,68.2,59.61,1.936,15961.06,5961.06,59.61,✅ COMPRA,15.1,-92.43,0.0,23.5,1.7791
ENEV3.SA,45.38,113,136,249,798,🔴 Fraco,68.2,78.95,1.957,17895.49,7895.49,78.95,✅ COMPRA,83.6,559.38,100.0,25.0,164.8457
EUCA4.SA,51.0,127,122,249,798,🔴 Fraco,66.9,55.57,1.455,15556.51,5556.51,55.57,✅ COMPRA,40.5,-5.27,45.4,27.5,26.0501
PETR3.SA,51.0,127,122,249,798,🔴 Fraco,66.7,58.12,1.777,15812.41,5812.41,58.12,✅ COMPRA,16.7,-48.89,6.9,47.54,24.2982
PRIO3.SA,49.0,122,127,249,798,🔴 Fraco,66.1,61.67,1.66,16166.88,6166.88,61.67,✅ COMPRA,17.1,-49.5,14.6,62.97,31.8008
GGBR3.SA,49.8,124,125,249,798,🔴 Fraco,65.7,44.58,1.563,14458.43,4458.43,44.58,✅ COMPRA,14.9,-98.64,0.0,20.19,0.2742
PETR4.SA,51.41,128,121,249,798,🔴 Fraco,65.7,51.55,1.808,15155.41,5155.41,51.55,✅ COMPRA,16.1,-69.22,4.2,42.51,13.0843
NEOE3.SA,44.98,112,137,249,798,🔴 Fraco,64.9,39.93,1.918,13993.27,3993.27,39.93,✅ COMPRA,81.5,46.3,95.4,33.8,49.448
BMGB4.SA,51.81,129,120,249,798,🔴 Fraco,64.3,55.42,1.648,15541.73,5541.73,55.42,✅ COMPRA,22.3,-35.22,10.8,5.1,3.3037
ALPA4.SA,44.98,112,137,249,798,🔴 Fraco,63.9,60.13,1.409,16012.55,6012.55,60.13,✅ COMPRA,13.5,-81.86,0.0,12.61,2.2874
RCSL4.SA,49.8,124,125,249,798,🔴 Fraco,63.2,79.31,1.164,17931.03,7931.03,79.31,✅ COMPRA,83.6,120.91,90.8,0.52,1.1487
AXIA6.SA,41.37,103,146,249,798,🔴 Fraco,62.6,70.9,2.004,17089.76,7089.76,70.9,✅ COMPRA,12.5,-87.89,0.8,57.9,7.011
TEND3.SA,49.0,122,127,249,798,🔴 Fraco,61.8,49.04,1.074,14903.55,4903.55,49.04,✅ COMPRA,20.9,-45.37,30.4,32.7,17.8643
COCE5.SA,49.8,124,125,249,798,🔴 Fraco,61.3,31.19,1.159,13119.26,3119.26,31.19,✅ COMPRA,84.9,90.78,99.6,33.7,64.2931
FLRY3.SA,53.01,132,117,249,798,🟡 Bom,60.4,32.59,1.133,13259.43,3259.43,32.59,✅ COMPRA,15.9,-74.97,0.0,15.74,3.9393
BPAC11.SA,51.0,127,122,249,798,🔴 Fraco,60.3,41.08,1.225,14107.88,4107.88,41.08,✅ COMPRA,32.5,-14.63,32.3,54.3,46.3577
BEES3.SA,53.01,132,117,249,798,🟡 Bom,60.1,22.2,1.623,12219.6,2219.6,22.2,✅ COMPRA,85.9,340.05,100.0,8.7,38.2842
ALOS3.SA,46.18,115,134,249,798,🔴 Fraco,60.1,41.29,1.552,14128.5,4128.5,41.29,✅ COMPRA,14.5,-76.81,4.6,28.63,6.6399
BRSR6.SA,53.01,132,117,249,798,🟡 Bom,59.8,36.26,1.22,13626.12,3626.12,36.26,⚖️  NEUTRO,32.5,-13.29,25.0,14.61,12.6679
CXSE3.SA,55.02,137,112,249,798,🟡 Bom,59.8,25.9,1.229,12589.96,2589.96,25.9,⚖️  NEUTRO,86.4,147.98,99.6,17.44,43.2479
ITSA4.SA,52.21,130,119,249,798,🟡 Bom,59.3,32.77,1.349,13277.04,3277.04,32.77,⚖️  NEUTRO,71.1,22.63,66.5,12.97,15.9052
CPLE3.SA,49.0,122,127,249,798,🔴 Fraco,59.3,34.29,1.335,13429.38,3429.38,34.29,⚖️  NEUTRO,84.7,178.87,100.0,14.45,40.2966
ITUB3.SA,46.18,115,134,249,798,🔴 Fraco,59.1,36.93,1.491,13692.93,3692.93,36.93,⚖️  NEUTRO,15.0,-67.77,7.7,40.28,12.9842
BRGE12.SA,89.02,73,9,82,798,🟢 Excelente,58.7,0.0,0.0,10000.0,0.0,0.0,⚖️  NEUTRO,45.6,-2.4,15.0,13.47,13.1461
ABEV3.SA,55.02,137,112,249,798,🟡 Bom,58.3,21.45,0.884,12144.51,2144.51,21.45,⚖️  NEUTRO,16.6,-50.04,0.8,16.29,8.1378
