,CXSE3.SA,ANIM3.SA,EGIE3.SA,BSLI4.SA,GRND3.SA,BEES3.SA,HBOR3.SA,WIZC3.SA,MTRE3.SA,PNVL3.SA,BBSE3.SA,GMAT3.SA,BLAU3.SA,DIRR3.SA,BRSR5.SA,CGRA4.SA,ENGI4.SA,FESA3.SA,GEPA3.SA,GEPA4.SA,SOJA3.SA,TAEE3.SA,TASA3.SA,TFCO4.SA,COCE5.SA,CPFE3.SA,SAPR3.SA,ALUP3.SA,EVEN3.SA,SEER3.SA,B3SA3.SA,CPLE3.SA,EUCA3.SA,HBSA3.SA,LAND3.SA,TAEE4.SA,VIVT3.SA,CASH3.SA,CMIN3.SA,USIM3.SA,USIM5.SA,CMIG3.SA,ESPA3.SA,ITUB4.SA,KLBN11.SA,TOTS3.SA,KLBN3.SA,OIBR4.SA,RANI3.SA,BMIN4.SA,ENEV3.SA,EQTL3.SA,RCSL4.SA,SUZB3.SA,ENGI3.SA,SMFT3.SA,TRIS3.SA,SBFG3.SA,JHSF3.SA,ONCO3.SA,LAVV3.SA,BMEB4.SA,HYPE3.SA,MILS3.SA,SANB11.SA,CYRE3.SA,CEAB3.SA,EZTC3.SA,RAIZ4.SA,NEOE3.SA,FESA4.SA,WEGE3.SA,TASA4.SA,BRAV3.SA,UNIP5.SA,SANB3.SA,ITSA4.SA,BRGE3.SA,RECV3.SA,QUAL3.SA,MBRF3.SA,EKTR3.SA,BEES4.SA,LWSA3.SA,EMBJ3.SA,CLSC3.SA,CRIV3.SA,KEPL3.SA,TAEE11.SA,UNIP6.SA,AGRO3.SA,POSI3.SA,CRIV4.SA,BRGE5.SA,BAZA3.SA,BRGE12.SA,KLBN4.SA,BRGE11.SA,CGRA3.SA,EUCA4.SA,AURE3.SA,BRGE6.SA,CLSC4.SA,LEVE3.SA,PDGR3.SA,SMTO3.SA,ITSA3.SA,AMBP3.SA,RAIL3.SA,CAML3.SA,BPAC11.SA,BRSR6.SA,SANB4.SA,BRAP4.SA,EMAE4.SA,EKTR4.SA,ASAI3.SA,VALE3.SA,OIBR3.SA,TTEN3.SA,BGIP3.SA,GGPS3.SA,SAPR4.SA,ISAE4.SA,AALR3.SA,BMGB4.SA,RENT3.SA,FRAS3.SA,TEND3.SA,COGN3.SA,INTB3.SA,BBDC3.SA,UNIP3.SA,SYNE3.SA,SAPR11.SA,ALUP11.SA,PSSA3.SA,SAUD3.SA,MATD3.SA,MULT3.SA,RDOR3.SA,TUPY3.SA,HAPV3.SA,AZZA3.SA,ENGI11.SA,PRIO3.SA,BRKM5.SA,DASA3.SA,PETR3.SA,ABEV3.SA,BHIA3.SA,YDUQ3.SA,BBAS3.SA,TIMS3.SA,VBBR3.SA,CSAN3.SA,SIMH3.SA,BBDC4.SA,ROMI3.SA,PETR4.SA,FHER3.SA,PGMN3.SA,FLRY3.SA,VIVA3.SA,IRBR3.SA,LREN3.SA,RADL3.SA,BGIP4.SA,BMEB3.SA,LIGT3.SA,ODPV3.SA,SBSP3.SA,MYPK3.SA,LJQQ3.SA,MRVE3.SA,UGPA3.SA,BRAP3.SA,CSNA3.SA,CURY3.SA,SLCE3.SA,POMO4.SA,RAPT4.SA,BPAC3.SA,GGBR4.SA,ALUP4.SA,BPAC5.SA,BRKM3.SA,BRSR3.SA,BSLI3.SA,IFCM3.SA,ISAE3.SA,ITUB3.SA,PLPL3.SA,CBAV3.SA,ECOR3.SA,GGBR3.SA,JSLG3.SA,PINE4.SA,VAMO3.SA,VULC3.SA,BEEF3.SA,CMIG4.SA,GOAU4.SA,DXCO3.SA,PMAM3.SA,ALOS3.SA,AXIA3.SA,MGLU3.SA,IGTI11.SA,PCAR3.SA,ALPA4.SA,MDIA3.SA,AMAR3.SA,CSMG3.SA,MOVI3.SA,AXIA6.SA,AZEV4.SA
2026-01-02,17.5502,3.3676,32.5736,3.8893,4.0748,8.7337,2.4834,7.7961,3.6798,11.9197,34.8432,4.1767,11.0393,13.413,17.2289,26.3576,9.1434,11.8589,35.8199,37.9165,6.3935,13.0193,4.9038,14.5126,33.6543,43.444,8.5739,12.2107,5.849,11.5559,16.5823,14.5715,26.0389,3.1734,8.5545,13.1829,33.8324,4.3578,4.7523,9.9119,10.8721,16.0761,0.8054,39.9388,16.7202,32.8831,3.3675,1.2019,7.9725,18.0241,25.1859,38.382,0.5244,41.9559,11.9112,18.791,4.3621,11.2562,11.0349,1.3238,11.7706,85.9584,22.426,15.2646,27.3942,22.6986,11.6286,13.2414,0.3575,33.8294,6.1227,43.5996,4.7427,20.409,60.3327,13.1977,13.0483,13.5055,11.6175,1.7731,16.2847,51.6308,8.676,3.6403,73.6018,130.0043,6.9811,7.0805,39.1318,60.8694,18.8236,4.1396,6.7402,13.1867,69.2797,13.4685,3.3452,13.1833,25.3823,27.3335,12.4102,12.9208,141.1232,33.3962,1.466,17.1656,13.102,0.17,13.8991,5.7665,54.3623,14.6179,14.1491,23.3285,38.2511,38.3473,9.0129,83.5744,0.119,15.5915,53.0297,12.514,7.4017,27.1313,3.5231,5.0878,42.6917,21.9223,32.5651,2.5007,13.9354,15.6396,58.6763,3.7567,38.3186,32.7107,47.8969,13.7006,5.201,30.0284,34.514,12.815,12.3933,19.6198,48.3911,62.7598,10.9714,3.2369,47.5118,16.2815,1.3681,9.5274,20.8191,22.066,30.4792,3.8684,9.0569,17.8843,6.5362,42.2732,4.0436,4.3552,15.6796,21.9492,52.2118,14.833,18.9405,32.6846,63.21,2.7761,13.7512,28.1496,8.9906,1.4155,5.9402,26.5832,19.9203,6.8,32.011,15.7582,6.2304,5.1657,27.6965,23.2746,10.2644,14.1852,7.8259,17.2926,3.8337,0.6127,33.9325,40.3419,8.9351,10.7541,7.6522,19.8862,6.5901,15.2869,3.1481,15.1504,3.8593,10.9339,10.0421,4.7852,0.3414,28.5858,52.1344,6.2102,25.9763,1.9726,12.4642,19.448,0.6467,52.7306,9.6345,57.3054,0.1296
2026-01-05,17.6281,3.4324,32.7933,3.8887,4.1011,8.7752,2.5248,7.8669,3.703,12.0529,35.0094,4.2238,11.1056,13.5067,17.9068,26.54,9.3219,12.3837,36.5313,39.864,6.4537,13.0719,4.9313,14.6664,33.7235,43.8022,8.6165,12.3388,5.9396,11.6761,16.5624,14.6927,26.114,3.1597,8.5876,13.2,34.1548,4.4238,4.7861,10.0813,11.179,16.1176,0.8077,40.0673,16.7275,34.1599,3.3663,1.209,8.0018,18.1807,25.3508,38.5632,0.5268,42.058,11.937,18.9167,4.407,11.2379,11.1624,1.3272,11.8856,86.6485,22.4676,15.2843,27.5748,23.1913,11.7712,13.3204,0.368,33.8328,6.1122,43.4999,4.8051,20.5719,60.3646,13.2312,13.1165,13.5076,11.6517,1.779,16.319,51.7657,8.675,3.6524,73.6068,129.8928,6.9823,7.0965,39.1473,60.937,18.8352,4.1429,6.7384,13.1901,69.3462,13.4664,3.3444,13.1809,25.2266,27.3781,12.4138,12.9239,140.9617,33.3902,1.4877,17.2805,13.105,0.1699,13.9598,5.7757,54.6121,14.631,14.1666,23.3115,38.0963,38.2829,9.0581,83.2688,0.1195,15.5924,53.7561,12.5825,7.374,27.1501,3.5241,5.077,42.7902,21.8919,32.5209,2.5192,13.8955,15.675,58.5986,3.7523,38.2788,32.689,47.7186,13.7334,5.1844,30.159,34.6414,12.7985,12.3173,19.7004,48.3948,62.5289,10.8199,3.1358,47.4918,16.2723,1.3527,9.5337,21.1171,21.8148,30.1027,3.7945,9.0543,17.9011,6.5701,41.944,4.0211,4.2974,15.6112,21.8987,52.2775,14.8469,18.8875,32.4809,62.7154,2.7414,13.746,28.0956,8.9797,1.3987,5.9332,26.45,19.8438,6.7654,31.9332,15.6099,6.1965,5.1504,27.3959,23.0758,10.1891,13.9013,7.7822,17.1261,3.752,0.6064,33.7382,40.4722,8.9073,10.8163,7.6362,19.6029,6.5487,15.1872,3.1255,15.0307,3.7835,10.806,9.9148,4.7822,0.3409,28.5648,51.7048,6.1139,25.8116,1.9511,12.3839,19.2877,0.6439,52.4672,9.5085,56.8977,0.1286
2026-01-06,17.7304,3.4984,33.0054,3.8861,4.126,8.822,2.5655,7.9341,3.7251,12.1621,35.1771,4.2684,11.1724,13.6259,18.6077,26.7155,9.5086,12.9545,37.1722,41.9157,6.5088,13.1246,4.96,14.8218,33.849,44.1596,8.6507,12.4292,6.0317,11.8049,16.5756,14.7949,26.1893,3.1564,8.6472,13.2055,34.3869,4.4349,4.8182,10.3051,11.516,16.1785,0.8115,40.1608,16.7622,35.5444,3.3651,1.2138,8.0312,18.3881,25.5434,38.7878,0.5269,42.1924,11.9629,19.0578,4.4524,11.2343,11.2932,1.3297,12.0042,87.3587,22.523,15.3046,27.705,23.5648,11.9888,13.3598,0.385,33.8689,6.1017,43.475,4.8686,20.7297,60.4031,13.247,13.1737,13.5142,11.6797,1.7849,16.3702,51.8499,8.6709,3.7548,73.6094,129.8062,6.9835,7.1125,39.1128,61.0046,18.828,4.1498,6.7372,13.1952,69.4418,13.4645,3.3436,13.1812,25.0855,27.4095,12.4094,12.9247,140.7883,33.4257,1.5021,17.3244,13.0995,0.1693,14.0004,5.7889,54.8637,14.6513,14.1693,23.2945,37.9507,38.2384,9.059,83.0247,0.12,15.5939,54.841,12.6421,7.3403,27.1639,3.5213,5.0641,42.889,21.8492,32.4185,2.5401,13.8584,15.6831,58.5353,3.7454,38.1683,32.6503,47.6157,13.731,5.1628,30.217,34.7895,12.7832,12.2282,19.7709,48.4016,62.403,10.6273,3.034,47.4718,16.2692,1.341,9.5726,21.3776,21.6061,29.7235,3.722,9.0368,17.9014,6.6042,41.6414,3.9988,4.234,15.541,21.8464,52.2921,14.7949,18.7983,32.2831,62.1151,2.6867,13.7473,28.0704,8.9746,1.3824,5.9274,26.2531,19.7692,6.7311,31.8117,15.4638,6.1584,5.1366,27.2066,22.8636,10.1177,13.6529,7.758,16.926,3.6729,0.6003,33.5278,40.559,8.8826,10.8732,7.6077,19.3016,6.5042,15.068,3.0756,14.9086,3.6991,10.6864,9.8018,4.7791,0.3418,28.482,51.2505,6.019,25.6368,1.9263,12.2927,19.1193,0.6412,52.0941,9.3667,56.4669,0.1278
2026-01-07,17.8321,3.5545,33.2283,3.8847,4.148,8.869,2.6034,7.9785,3.7473,12.262,35.3973,4.3101,11.2393,13.745,19.3435,26.9001,9.6475,13.5607,37.8172,44.0941,6.567,13.1873,4.9889,14.9654,33.9517,44.4976,8.6981,12.4911,6.1215,11.9352,16.6102,14.8346,26.2571,3.1711,8.7151,13.2273,34.5954,4.4484,4.8538,10.5129,11.8267,16.2286,0.8138,40.2507,16.7635,36.9379,3.3633,1.2186,8.0607,18.5935,25.7374,39.0201,0.529,42.2971,11.9818,19.2124,4.4783,11.2157,11.3993,1.3273,12.1354,87.7379,22.5478,15.3422,27.8008,23.9825,12.1956,13.4385,0.3957,33.9051,6.0927,43.4501,4.926,20.8887,60.4801,13.2666,13.2117,13.5209,11.7085,1.7908,16.4215,51.9441,8.6702,3.7569,73.4981,129.7196,6.9844,7.1207,39.0884,61.0119,18.8075,4.1542,6.7373,13.2004,69.5808,13.4627,3.3352,13.1816,24.9425,27.3343,12.4187,12.9256,140.697,33.4488,1.5167,17.3319,13.0761,0.1685,14.0292,5.7973,55.0508,14.6469,14.1642,23.2538,37.8273,38.2184,9.1008,82.8788,0.1205,15.5996,55.0099,12.674,7.3079,27.1803,3.5186,5.0512,42.8285,21.7891,32.3494,2.5501,13.8186,15.6649,58.3571,3.7382,38.0823,32.5671,47.4188,13.7293,5.1348,30.2244,34.9307,12.7665,12.1291,19.7169,48.3804,62.3531,10.428,2.9293,47.4363,16.252,1.3241,9.6103,21.6224,21.4015,29.3848,3.6531,8.987,17.881,6.6354,41.324,3.9776,4.169,15.4712,21.7579,52.2847,14.7227,18.711,32.083,61.4494,2.629,13.7294,28.0181,8.9693,1.3632,5.9094,26.0049,19.6949,6.6925,31.6961,15.3187,6.1239,5.1164,26.8945,22.5915,10.0316,13.3889,7.7125,16.745,3.5877,0.5942,33.3357,40.5944,8.8546,10.9198,7.5798,18.9289,6.4516,14.9194,3.0434,14.7384,3.6187,10.5852,9.6158,4.7745,0.353,28.3131,50.8583,5.9211,25.4452,1.9009,12.2108,18.9294,0.6384,51.776,9.1899,55.937,0.1273
2026-01-08,17.9379,3.6132,33.4446,3.8867,4.1643,8.9163,2.6459,8.0173,3.7632,12.3531,35.6188,4.3562,11.297,13.8593,20.1083,27.0457,9.7908,14.2673,38.2756,46.3925,6.6291,13.2399,5.0221,15.1006,34.0798,44.928,8.7308,12.551,6.2117,12.0123,16.6346,14.8756,26.3124,3.1851,8.7835,13.2431,34.7185,4.4581,4.8933,10.7164,12.1526,16.2829,0.8158,40.2894,16.7705,38.2757,3.3616,1.2235,8.0903,18.7937,25.929,39.2303,0.5305,42.4418,12.0002,19.2757,4.5115,11.1861,11.4804,1.323,12.2675,88.2935,22.5761,15.3852,27.9123,24.2842,12.4156,13.446,0.4131,33.943,6.0778,43.4252,4.9872,21.0316,60.5442,13.276,13.26,13.5297,11.7336,1.7901,16.4965,52.0309,8.6691,3.7551,73.2243,129.6331,6.9853,7.1252,39.0485,61.0192,18.8174,4.1573,6.7374,13.2058,69.7349,13.4612,3.3284,13.1819,24.7785,27.2593,12.4266,12.9264,140.4641,33.4719,1.5263,17.3169,13.0532,0.1673,14.0569,5.807,55.2117,14.6426,14.1487,23.2133,37.7139,38.2488,9.0872,82.7882,0.121,15.6025,55.3552,12.6772,7.279,27.1892,3.5153,5.0408,42.6448,21.7197,32.2643,2.5368,13.7238,15.6306,58.2898,3.7311,37.9462,32.4749,47.2894,13.7195,5.1028,30.2258,34.9595,12.7469,12.0091,19.6066,48.3546,62.3357,10.2208,2.8237,47.4186,16.2349,1.3051,9.5771,21.87,21.1805,29.046,3.5906,8.9234,17.8379,6.6668,41.0091,3.9586,4.105,15.4017,21.6266,52.2158,14.5908,18.6242,31.8755,60.7172,2.5726,13.6881,27.9619,8.952,1.3402,5.8726,25.7617,19.6305,6.6503,31.6139,15.1836,6.0915,5.0898,26.6142,22.337,9.947,13.127,7.6667,16.5475,3.5273,0.5877,33.1278,40.5745,8.8226,10.9695,7.552,18.5961,6.3928,14.7573,3.0274,14.6144,3.5401,10.4607,9.4197,4.7645,0.3547,28.1582,50.3637,5.8282,25.2415,1.8757,12.0888,18.7149,0.6357,51.4064,8.9937,55.378,0.1273
2026-01-09,18.0443,3.6789,33.6808,3.9421,4.1812,8.96,2.6897,8.0548,3.7799,12.4384,35.8895,4.3878,11.3566,13.9295,20.9034,27.1985,9.9312,15.018,38.6915,48.7722,6.6892,13.2912,5.0552,15.2007,34.178,45.4487,8.7916,12.5867,6.2994,12.0944,16.659,14.915,26.3533,3.1976,8.8555,13.2685,34.9576,4.4667,4.9389,10.9064,12.4506,16.347,0.8152,40.3436,16.8036,39.6005,3.3614,1.226,8.1318,18.9701,26.0948,39.4416,0.5322,42.6092,12.0194,19.335,4.5449,11.1621,11.5814,1.3267,12.3928,88.7514,22.6045,15.4024,28.0089,24.5706,12.7252,13.5047,0.4298,33.9762,6.0677,43.4099,5.0466,21.1646,60.5683,13.284,13.3006,13.5389,11.7599,1.7901,16.5641,52.1054,8.6681,3.7545,73.1376,129.6117,6.9862,7.1228,39.0287,61.0265,18.7889,4.1627,6.7375,13.2125,69.8759,13.4597,3.3203,13.183,24.6173,27.1977,12.4319,12.9272,140.0362,33.495,1.5355,17.2975,13.0346,0.1662,14.0951,5.8244,55.3587,14.6545,14.1377,23.1762,37.5568,38.2777,9.1604,82.7093,0.1206,15.6071,55.7734,12.7563,7.2406,27.2478,3.4898,5.0305,42.5745,21.6526,31.9693,2.5235,13.6456,15.5964,57.9201,3.724,37.7933,32.383,47.1374,13.7022,5.0901,30.2275,34.9925,12.7274,11.8882,19.4782,48.3289,62.3556,10.0378,2.7326,47.4345,16.2285,1.2872,9.5237,22.1205,20.9669,28.7407,3.5343,8.8617,17.7976,6.6984,40.7477,3.9367,4.0544,15.3251,21.4332,52.1469,14.5236,18.5378,31.7369,59.996,2.545,13.6615,27.9147,8.9163,1.3194,5.8421,25.5139,19.5673,6.6084,31.3732,15.0608,6.0592,5.0633,26.342,22.1543,9.8792,12.8628,7.6208,16.3424,3.4692,0.5812,32.9381,40.601,8.7912,11.0212,7.5316,18.2973,6.3369,14.5844,2.9841,14.4898,3.4649,10.3773,9.223,4.7555,0.3545,28.0041,49.8988,5.7386,25.0453,1.8646,11.9789,18.4933,0.6325,51.1054,8.8142,54.9191,0.1273
2026-01-12,18.1388,3.7522,33.8819,3.9503,4.2029,9.0036,2.7373,8.0993,3.8003,12.5581,36.0423,4.4409,11.4265,14.0408,21.7328,27.4004,10.1332,15.7281,39.3826,51.1429,6.7562,13.3396,5.0861,15.3209,34.2813,45.7252,8.8136,12.7033,6.3998,12.2216,16.6584,14.9683,26.3222,3.2173,8.8861,13.2749,35.2451,4.4777,4.9719,11.1118,12.792,16.3983,0.8187,40.4169,16.8353,41.0337,3.36,1.2307,8.1616,19.1349,26.277,39.6947,0.5318,42.8135,12.0567,19.4299,4.5946,11.1358,11.6892,1.3337,12.4871,89.3969,22.6547,15.3852,28.1464,25.072,12.8128,13.602,0.4471,34.0091,6.0597,43.3579,5.1058,21.2056,60.6061,13.3108,13.3617,13.5409,11.7817,1.7867,16.616,52.1762,8.6616,3.7528,73.337,129.7122,6.9871,7.1374,38.9965,61.0654,18.8042,4.1703,6.737,13.2159,69.9625,13.4576,3.3195,13.1809,24.4809,27.2773,12.4336,12.9303,139.7792,33.4765,1.5721,17.3802,13.0448,0.166,14.134,5.8394,55.638,14.6493,14.1329,23.1392,37.4072,38.2194,9.2193,82.5915,0.1211,15.6166,56.0391,12.7741,7.217,27.2571,3.4951,5.0298,42.5968,21.6328,31.7716,2.5245,13.6305,15.6032,57.8732,3.7201,37.742,32.3648,47.1343,13.704,5.0483,30.3155,35.0369,12.7093,11.8154,19.5419,48.3309,62.4195,9.8847,2.6439,47.4034,16.2194,1.2664,9.4562,22.4324,20.7264,28.3267,3.4724,8.8346,17.7945,6.729,40.4538,3.9177,3.9926,15.2441,21.3823,52.1705,14.4443,18.4344,31.5272,59.1837,2.5095,13.6657,27.8626,8.9039,1.3003,5.83,25.3168,19.4966,6.5665,31.2943,14.9263,6.0347,5.0497,26.1179,21.9896,9.8025,12.6296,7.5776,16.2115,3.4094,0.5763,32.7956,40.6661,8.7399,11.0651,7.4933,18.0042,6.3082,14.4624,2.9627,14.378,3.3876,10.2653,9.0605,4.7548,0.3524,27.8431,49.463,5.6467,24.8865,1.8388,11.878,18.3176,0.6298,50.8035,8.665,54.5386,0.1267
2026-01-13,18.2641,3.8271,34.0843,3.9761,4.2281,9.0527,2.7857,8.1477,3.8226,12.6652,36.2239,4.4813,11.4886,14.1551,22.5908,27.5953,10.3336,16.4866,40.0484,53.676,6.8182,13.3836,5.1157,15.418,34.39,46.021,8.8407,12.803,6.499,12.3514,16.6732,15.0286,26.3125,3.2371,8.9324,13.2929,35.4036,4.4937,5.0023,11.3692,13.1751,16.4642,0.8228,40.4671,16.8787,42.6078,3.3586,1.2356,8.1916,19.3532,26.4881,39.9576,0.5332,42.9052,12.0859,19.5596,4.6448,11.1095,11.7885,1.3399,12.5749,89.8684,22.7186,15.3685,28.2292,25.5901,12.9631,13.6449,0.4662,34.075,6.0591,43.3478,5.1621,21.2467,60.653,13.3111,13.4308,13.5476,11.7996,1.7832,16.6681,52.2325,8.6581,3.7512,73.5192,129.6914,6.988,7.1568,38.9657,61.1043,18.787,4.1816,6.7372,13.2213,70.2047,13.4557,3.3188,13.1816,24.3825,27.3245,12.4376,12.9311,139.8006,33.5247,1.5937,17.3793,13.0585,0.1658,14.1582,5.8527,55.8956,14.6847,14.1267,23.1022,37.2582,38.152,9.2592,82.4738,0.1216,15.623,56.3254,12.7867,7.1852,27.2615,3.4939,5.0429,42.6306,21.6258,31.5882,2.5262,13.6217,15.6113,57.8277,3.7136,37.621,32.3831,47.1521,13.6931,5.0104,30.342,35.0864,12.6924,11.7299,19.5785,48.333,62.5907,9.7099,2.5581,47.3724,16.2163,1.2566,9.4052,22.7265,20.5508,27.9764,3.4095,8.8013,17.7734,6.7597,40.1619,3.8994,3.9297,15.1635,21.3252,52.1851,14.3725,18.3636,31.3233,58.5928,2.46,13.66,27.8107,8.9046,1.2848,5.8298,25.0973,19.4278,6.5249,31.1953,14.7938,6.0249,5.0372,25.876,21.8206,9.7298,12.4006,7.5535,16.0487,3.3511,0.5714,32.6249,40.6882,8.6888,11.1091,7.4585,17.6956,6.2598,14.3146,2.9282,14.2657,3.3121,10.1798,8.9489,4.7513,0.3513,27.6947,49.031,5.5562,24.718,1.8103,11.7778,18.1543,0.6267,50.3958,8.5158,54.1223,0.1264
2026-01-14,18.3873,3.8912,34.2975,3.9901,4.2505,9.1031,2.8312,8.1798,3.8424,12.7674,36.4597,4.5265,11.5511,14.2684,23.4841,27.7875,10.4872,17.2847,40.7639,56.3505,6.8833,13.4406,5.1454,15.5377,34.4958,46.2923,8.8717,12.8671,6.5957,12.4797,16.7546,15.0685,26.316,3.2552,8.9953,13.3041,35.6429,4.5074,5.0365,11.5995,13.5383,16.5104,0.8255,40.5186,16.8904,44.2866,3.3566,1.2405,8.2198,19.5694,26.7009,40.1805,0.5325,42.9683,12.1157,19.703,4.6727,11.076,11.8796,1.3479,12.66,90.3424,22.7582,15.3421,28.3626,25.988,13.1025,13.7095,0.4842,34.1369,6.0598,43.3555,5.2157,21.2879,60.733,13.3028,13.5003,13.5542,11.8175,1.7798,16.7204,52.2988,8.658,3.7441,73.5882,129.6947,6.9889,7.1697,38.9413,61.1067,18.8081,4.1836,6.7373,13.2267,70.4684,13.4539,3.3104,13.1823,24.2894,27.3191,12.4484,12.932,139.7003,33.573,1.6178,17.3502,13.0545,0.1652,14.1932,5.8612,56.094,14.6953,14.1286,23.0653,37.1311,38.1091,9.3291,82.3478,0.1221,15.6387,56.6073,12.812,7.1546,27.2633,3.4965,5.0577,42.5404,21.6001,31.4058,2.5167,13.6093,15.5924,57.7682,3.7069,37.5351,32.294,47.0828,13.6851,4.9688,30.3414,35.1283,12.6741,11.6348,19.573,48.307,62.4495,9.529,2.4678,47.3369,16.201,1.2431,9.3581,23.0011,20.3421,27.6205,3.3481,8.7469,17.7273,6.7917,39.8559,3.8812,3.8656,15.0834,21.2327,52.1777,14.2959,18.2756,31.1208,57.9622,2.4154,13.653,27.7956,8.9052,1.2645,5.8242,24.7835,19.3532,6.4792,31.0881,14.6621,6.0077,5.0184,25.5168,21.5939,9.6454,12.1602,7.5086,15.8835,3.2853,0.5665,32.4551,40.6907,8.6348,11.1532,7.4244,17.3508,6.206,14.1604,2.8987,14.153,3.237,10.0673,8.7715,4.7462,0.3517,27.4984,48.6444,5.4637,24.5119,1.7861,11.6868,17.9708,0.6236,50.0864,8.3425,53.6132,0.1264
2026-01-15,18.515,3.9452,34.529,3.9996,4.2691,9.1625,2.8775,8.2085,3.8607,12.8588,36.6947,4.5591,11.6098,14.3642,24.4127,27.9395,10.643,18.1802,41.2999,59.1045,6.9455,13.4933,5.1797,15.6239,34.6071,46.6942,8.9297,12.9284,6.6929,12.552,16.7507,15.1102,26.345,3.2693,9.0587,13.3296,35.7769,4.5172,5.0738,11.8304,13.9193,16.5722,0.8278,40.5948,16.9073,45.8775,3.3546,1.2457,8.2481,19.7801,26.9274,40.3318,0.5352,43.0812,12.1451,19.7634,4.703,11.0355,11.9849,1.3547,12.7057,90.8708,22.8042,15.3297,28.4696,26.0814,13.2468,13.7072,0.5072,34.1961,6.0561,43.3632,5.2748,21.3234,60.7297,13.2946,13.5622,13.563,11.8196,1.7753,16.7968,52.3631,8.6579,3.7328,73.5235,129.6739,6.9898,7.1758,38.9016,61.0684,18.7998,4.1859,6.7374,13.2327,70.748,13.4534,3.3037,13.183,24.2078,27.3067,12.4565,12.9328,139.7525,33.6214,1.6369,17.3198,13.0479,0.1642,14.2128,5.8705,56.1867,14.6974,14.1283,23.0285,37.024,38.1165,9.3743,82.2549,0.1226,15.6516,56.9516,12.7942,7.1268,27.2651,3.4957,5.0607,42.3723,21.5629,31.2089,2.5016,13.5538,15.5636,57.5706,3.6978,37.372,32.205,46.9705,13.6771,4.9228,30.3052,35.1074,12.6522,11.5197,19.528,48.2624,62.3039,9.3408,2.3769,47.3152,16.1856,1.2242,9.3047,23.2731,20.1516,27.2254,3.2926,8.6812,17.6956,6.8238,39.5521,3.8646,3.806,15.0037,21.1112,52.1089,14.1562,18.1832,30.8685,57.2689,2.3738,13.6268,27.7616,8.8965,1.2431,5.7858,24.5123,19.2943,6.4377,31.0135,14.5561,5.9868,4.9933,25.2255,21.3782,9.5631,11.9222,7.4667,15.6993,3.238,0.5612,32.2839,40.6759,8.6037,11.2005,7.3905,17.0427,6.1617,13.9937,2.8848,14.035,3.1637,9.974,8.5786,4.7358,0.3518,27.2671,48.16,5.3689,24.3003,1.7588,11.5766,17.7639,0.6206,49.7231,8.1782,53.0285,0.1266
